payment_id,customer_id,amount,payment_date
1,416,3.66,2024-10-29 12:03:27.948656
2,293,4.48,2024-10-03 18:42:47.998245
3,276,5.97,2024-10-28 10:29:22.680735
4,399,5.08,2024-02-20 11:20:25.202955
5,86,5.99,2024-07-28 04:58:51.835648
6,111,5.87,2024-12-19 20:36:08.616263
7,68,4.68,2024-12-11 19:08:00.434384
8,431,4.53,2024-04-03 14:12:37.127190
9,140,4.6,2024-10-20 12:33:10.354262
10,89,4.58,2024-09-24 01:26:13.851092
11,463,5.5,2024-07-25 10:41:57.596306
12,127,4.62,2024-07-17 11:51:48.231906
13,448,5.79,2024-03-18 07:02:12.463107
14,97,3.29,2024-08-05 04:45:34.045926
15,488,5.24,2024-02-09 03:00:48.864846
16,277,6.53,2024-12-07 03:05:17.638868
17,459,3.57,2024-01-26 01:33:33.646407
18,300,6.65,2024-07-27 10:01:09.880048
19,343,6.56,2024-09-04 23:00:25.056350
20,15,6.72,2024-03-03 17:03:26.661784
21,396,6.8,2024-08-26 15:37:58.643922
22,436,3.17,2024-03-31 07:21:31.920797
23,5,3.11,2024-02-06 01:28:37.524299
24,216,3.72,2024-08-01 04:30:08.354005
25,229,5.11,2024-03-29 11:20:38.975694
26,153,6.64,2024-08-09 14:01:18.419497
27,462,6.57,2024-05-16 13:55:19.374081
28,293,5.63,2024-06-09 19:09:03.658612
29,234,6.64,2024-07-29 15:26:37.031833
30,298,3.64,2024-03-21 09:39:47.657006
31,454,6.93,2024-07-21 02:25:40.883614
32,455,3.1,2024-08-06 00:02:24.464169
33,6,6.72,2024-10-11 16:53:25.589113
34,121,5.73,2024-07-26 11:49:48.599729
35,499,3.36,2024-11-18 10:19:29.878236
36,204,5.76,2024-08-28 12:17:43.445832
37,439,4.67,2024-08-21 01:02:25.599675
38,492,4.17,2024-02-13 14:06:54.205879
39,434,4.03,2024-03-30 12:14:36.222114
40,1,5.67,2024-04-01 20:29:13.649992
41,101,4.61,2024-08-25 00:21:58.010641
42,443,6.98,2024-08-30 14:31:28.450502
43,330,4.39,2024-10-05 07:59:22.363502
44,492,6.1,2024-01-25 22:09:44.354470
45,447,6.12,2024-07-10 13:26:06.025639
46,276,6.88,2024-11-13 13:15:47.352407
47,332,5.75,2024-11-04 16:23:03.648209
48,211,6.26,2024-10-12 08:36:07.758828
49,67,3.9,2024-06-25 08:56:23.202603
50,299,5.42,2024-09-30 06:04:27.497064
51,432,5.41,2024-04-19 04:04:59.475460
52,36,4.7,2024-02-20 09:16:25.489358
53,51,4.74,2024-04-09 17:27:29.721511
54,319,4.28,2024-05-08 23:52:13.724700
55,71,4.85,2024-05-07 03:00:40.337070
56,137,6.42,2024-03-02 08:01:33.620343
57,366,6.13,2024-08-11 08:23:05.258281
58,421,6.58,2024-07-11 19:44:28.966830
59,150,3.51,2024-05-15 17:22:06.656015
60,81,3.17,2024-09-26 18:33:57.990913
61,494,4.59,2024-05-28 01:21:27.532482
62,226,3.87,2024-01-12 15:52:21.673675
63,430,3.59,2024-02-18 08:05:24.228926
64,305,4.3,2024-07-30 17:18:33.031346
65,134,6.67,2024-11-04 06:21:08.648049
66,91,5.4,2024-07-21 02:02:49.220138
67,229,3.82,2024-02-10 01:54:29.131430
68,305,4.43,2024-02-02 14:44:49.474283
69,344,4.52,2024-05-10 11:35:03.473829
70,112,5.15,2024-07-24 09:33:36.424179
71,411,3.72,2024-09-11 12:01:38.642640
72,134,6.08,2024-08-31 12:58:06.094367
73,78,5.64,2024-08-17 11:25:18.932751
74,61,6.56,2024-06-23 17:16:58.391429
75,337,3.18,2024-10-27 15:09:15.688574
76,259,4.36,2024-05-03 16:54:13.791043
77,95,5.36,2024-02-02 03:39:14.595865
78,206,6.83,2024-04-15 17:34:59.801980
79,482,4.1,2024-05-02 08:22:56.122360
80,115,4.14,2024-06-04 10:08:45.403950
81,129,4.45,2024-11-22 13:42:57.952294
82,296,6.6,2024-05-12 09:14:18.406395
83,261,4.85,2024-02-02 10:43:08.826525
84,388,3.98,2024-02-01 11:11:49.180026
85,385,6.86,2024-08-02 03:21:01.632278
86,263,5.86,2024-08-07 02:00:09.191428
87,90,6.63,2024-03-15 10:37:29.766916
88,25,4.83,2024-08-18 17:03:16.808831
89,443,4.93,2024-09-06 02:50:17.948845
90,411,4.2,2024-06-26 10:30:47.341431
91,406,5.43,2024-09-10 02:26:25.042867
92,23,3.14,2024-06-18 04:12:27.807644
93,164,5.96,2024-07-05 14:06:17.265623
94,383,6.03,2024-03-18 13:40:32.698919
95,284,6.02,2024-03-15 21:06:36.267000
96,23,4.58,2024-08-31 09:02:39.933107
97,398,3.47,2024-07-16 04:59:38.433577
98,374,6.01,2024-07-21 00:35:25.739962
99,207,3.05,2024-04-03 14:58:58.099825
100,136,3.05,2024-09-09 13:11:52.841367
101,190,4.71,2024-01-24 14:00:25.274596
102,359,5.45,2024-02-01 05:56:13.637301
103,277,3.49,2024-05-08 00:27:42.574921
104,237,3.91,2024-04-16 16:13:15.877092
105,498,5.26,2024-09-09 18:07:32.034117
106,46,3.72,2024-02-05 02:39:50.879616
107,104,3.0,2024-11-06 17:50:34.422607
108,229,6.95,2024-05-22 04:16:44.002620
109,141,6.51,2024-05-31 07:57:00.878112
110,359,3.95,2024-05-07 18:40:52.244873
111,261,5.46,2024-08-02 17:25:10.201508
112,383,3.07,2024-08-07 18:09:33.228029
113,52,3.05,2024-10-01 15:18:24.795759
114,279,4.7,2024-05-15 06:14:12.181429
115,419,6.72,2024-03-30 09:35:24.523878
116,152,4.55,2024-03-17 15:31:01.813383
117,417,4.12,2024-06-12 19:04:42.700803
118,431,4.33,2024-06-11 20:41:09.933164
119,305,5.54,2024-04-23 23:30:25.126536
120,140,3.0,2024-02-18 04:08:33.438235
121,350,5.34,2024-12-28 13:28:22.211274
122,296,3.31,2024-01-23 10:25:34.379780
123,286,5.71,2024-01-30 07:59:40.217587
124,274,5.34,2024-01-18 14:35:46.694084
125,219,4.67,2024-05-19 23:01:12.588405
126,126,5.21,2024-06-26 16:08:13.752882
127,406,3.29,2024-01-28 20:15:48.727935
128,415,3.5,2024-05-23 08:26:58.205600
129,262,6.98,2024-03-29 02:57:37.503413
130,28,3.29,2024-09-24 16:52:04.198508
131,244,6.58,2024-08-31 22:02:35.005124
132,315,5.82,2024-10-15 16:36:32.206626
133,70,4.72,2024-10-10 05:10:00.763651
134,383,3.57,2024-01-01 03:56:18.793438
135,68,4.5,2024-05-06 06:10:57.347014
136,382,6.46,2024-08-05 21:33:58.740388
137,74,4.31,2024-06-21 09:24:20.209377
138,247,4.03,2024-07-28 12:04:10.773039
139,313,3.58,2024-03-15 07:30:49.991340
140,190,3.06,2024-05-12 05:56:16.935074
141,193,6.28,2024-06-05 08:08:27.413169
142,130,4.42,2024-10-31 11:19:20.054478
143,465,4.2,2024-11-26 19:06:19.122373
144,347,6.12,2024-01-04 12:38:19.375345
145,268,4.11,2024-04-30 10:11:21.307201
146,167,3.63,2024-12-27 21:09:45.676425
147,277,5.55,2024-09-01 08:42:45.709941
148,90,4.32,2024-11-12 16:24:58.710771
149,167,3.53,2024-12-15 00:03:58.374079
150,465,5.54,2024-12-23 18:47:40.002496
151,118,3.46,2024-12-14 00:16:37.877639
152,233,5.38,2024-09-07 17:10:38.990074
153,374,6.74,2024-06-17 19:41:55.740780
154,464,4.44,2024-12-27 05:10:45.615076
155,300,4.77,2024-04-24 06:55:37.349379
156,13,6.07,2024-07-24 19:05:08.448017
157,437,4.74,2024-12-05 01:29:26.964406
158,380,4.24,2024-02-06 05:33:21.988731
159,306,6.54,2024-09-30 20:09:14.890445
160,345,4.15,2024-10-10 13:09:57.426595
161,242,4.77,2024-10-05 00:37:28.227231
162,214,5.31,2024-10-27 13:32:25.573579
163,272,3.69,2024-08-22 14:08:36.764583
164,195,4.46,2024-06-16 07:05:27.037907
165,236,6.34,2024-04-09 16:23:01.308334
166,350,6.1,2024-09-21 17:20:34.792254
167,177,4.94,2024-04-15 06:34:28.717371
168,463,3.05,2024-06-28 07:27:01.371205
169,14,6.98,2024-12-21 19:12:13.129875
170,365,3.85,2024-07-04 05:50:07.131932
171,87,6.92,2024-06-30 20:59:20.756043
172,372,6.95,2024-01-14 23:13:50.418569
173,465,3.68,2024-05-17 15:32:30.700022
174,433,4.9,2024-09-30 20:26:32.330685
175,109,4.74,2024-12-10 07:10:07.420618
176,105,5.78,2024-06-11 10:32:40.816331
177,55,3.42,2024-02-08 05:07:36.765897
178,146,5.36,2024-11-30 05:30:16.876679
179,110,4.95,2024-02-25 05:28:19.507349
180,3,3.02,2024-05-10 17:33:30.713588
181,461,6.61,2024-12-04 23:03:37.303145
182,349,6.91,2024-02-29 18:30:16.128296
183,90,6.61,2024-07-16 05:40:19.511027
184,421,3.82,2024-12-12 06:25:03.502186
185,335,5.8,2024-02-02 11:17:24.114263
186,252,4.07,2024-01-19 17:23:49.395929
187,79,5.51,2024-07-31 03:10:33.992550
188,407,5.63,2024-04-27 02:46:44.691195
189,243,4.93,2024-11-15 23:40:03.377297
190,413,3.19,2024-02-09 02:16:45.479607
191,366,4.5,2024-02-27 00:22:39.539595
192,42,3.39,2024-04-08 13:04:27.295996
193,350,3.17,2024-02-19 16:18:39.031612
194,190,5.74,2024-10-19 20:03:36.494712
195,130,4.15,2024-07-04 10:27:51.992335
196,480,6.95,2024-08-01 09:24:40.030821
197,89,3.58,2024-06-13 10:43:59.261896
198,432,6.82,2024-06-16 01:29:01.127406
199,294,4.88,2024-01-22 04:34:58.389748
200,270,3.95,2024-05-17 22:29:31.569261
201,414,5.1,2024-05-15 20:00:14.115608
202,213,3.81,2024-04-24 13:26:44.784351
203,125,5.69,2024-04-14 06:26:01.400982
204,72,3.14,2024-03-08 05:02:29.603657
205,255,6.73,2024-02-25 19:52:44.741072
206,441,3.56,2024-12-30 02:23:30.985898
207,322,3.73,2024-12-23 12:25:18.152835
208,287,3.9,2024-06-08 17:04:44.485094
209,139,3.18,2024-11-20 05:21:32.461718
210,202,6.42,2024-01-30 14:42:15.056195
211,455,5.92,2024-10-27 16:03:29.848231
212,420,5.91,2024-03-07 08:46:12.201218
213,398,3.93,2024-08-11 14:03:38.411430
214,328,3.69,2024-05-19 22:21:51.827882
215,42,4.71,2024-02-29 02:53:41.274098
216,419,3.37,2024-01-20 15:50:19.627195
217,118,6.48,2024-02-17 01:54:28.835411
218,178,5.38,2024-09-14 20:24:57.113431
219,195,5.28,2024-04-09 21:20:38.504406
220,192,6.83,2024-11-09 15:14:37.541624
221,156,5.27,2024-04-23 22:11:18.128958
222,169,5.3,2024-12-07 20:30:42.707047
223,229,4.83,2024-02-28 09:22:25.595670
224,467,3.52,2024-04-07 22:37:53.894707
225,25,6.93,2024-08-27 21:04:55.748953
226,199,4.77,2024-02-21 08:50:02.579662
227,449,5.28,2024-09-01 10:28:49.077518
228,217,5.33,2024-08-16 06:34:24.458263
229,316,3.26,2024-10-24 00:41:37.621027
230,127,5.06,2024-09-18 00:17:05.605892
231,33,3.5,2024-05-19 22:52:23.948642
232,129,3.72,2024-09-18 16:49:41.566995
233,193,4.32,2024-12-13 13:15:52.018136
234,450,4.66,2024-10-05 02:19:19.108119
235,219,3.04,2024-02-08 04:03:58.757424
236,129,3.75,2024-03-27 18:23:49.461143
237,382,4.64,2024-02-02 07:32:24.669094
238,385,3.18,2024-02-16 16:53:10.788842
239,350,3.34,2024-05-17 00:01:13.312746
240,130,3.53,2024-06-02 20:01:10.821364
241,274,5.76,2024-08-16 05:36:49.632588
242,167,5.54,2024-03-27 14:22:07.191864
243,194,4.34,2024-09-16 19:08:11.576459
244,401,4.13,2024-07-20 08:53:23.422500
245,438,4.4,2024-12-08 07:36:28.358898
246,77,4.32,2024-09-18 22:56:04.567715
247,186,6.71,2024-03-19 14:22:06.325259
248,300,3.86,2024-05-12 22:33:01.263036
249,450,4.85,2024-12-21 04:43:18.905650
250,375,5.47,2024-06-18 00:43:06.693254
251,379,6.69,2024-03-20 03:07:20.438179
252,327,4.51,2024-04-26 16:46:49.332806
253,167,6.74,2024-09-01 04:10:16.030678
254,54,3.45,2024-09-10 02:36:29.512827
255,327,4.66,2024-02-17 15:23:18.454075
256,165,6.94,2024-12-16 11:44:14.763387
257,403,4.56,2024-08-10 19:15:34.278474
258,23,3.94,2024-08-09 20:14:40.860986
259,157,4.99,2024-11-08 14:32:58.350514
260,224,5.51,2024-05-19 12:53:36.662255
261,295,4.67,2024-02-26 07:33:18.589649
262,294,4.91,2024-10-07 07:01:44.455491
263,135,3.21,2024-01-12 03:49:54.248835
264,494,5.33,2024-06-13 09:33:51.930730
265,349,3.5,2024-11-29 09:40:09.253912
266,118,5.34,2024-02-10 01:38:17.640975
267,437,4.29,2024-02-12 05:12:21.248575
268,368,6.92,2024-06-08 01:00:47.291373
269,93,6.57,2024-06-24 07:33:01.491347
270,270,3.36,2024-06-23 00:47:30.879141
271,249,3.58,2024-10-05 10:05:01.511306
272,452,5.16,2024-10-04 11:36:26.398956
273,481,4.67,2024-07-12 19:26:33.505566
274,315,6.0,2024-02-01 17:42:39.166548
275,392,6.29,2024-04-30 10:32:40.188757
276,473,3.98,2024-10-31 03:10:31.148165
277,135,3.54,2024-06-24 17:22:01.040599
278,305,4.3,2024-06-20 05:02:39.590259
279,379,5.42,2024-04-25 08:53:29.924984
280,479,4.05,2024-08-21 02:07:56.007012
281,359,3.56,2024-09-04 02:59:07.004126
282,411,6.05,2024-02-02 13:31:31.126173
283,466,5.16,2024-08-26 04:10:52.118076
284,259,6.47,2024-04-17 05:29:51.416823
285,227,4.32,2024-05-25 07:12:00.982334
286,165,4.15,2024-10-24 22:55:05.499022
287,297,3.37,2024-10-30 03:53:57.265558
288,282,3.78,2024-08-14 20:58:21.547773
289,286,5.43,2024-02-02 05:45:53.983476
290,356,3.45,2024-07-22 01:25:37.809537
291,5,3.35,2024-06-12 16:00:41.116412
292,391,5.7,2024-07-26 18:29:55.113032
293,312,3.41,2024-07-23 16:12:53.318248
294,353,4.59,2024-12-10 21:28:08.662287
295,173,4.5,2024-09-01 07:22:06.293011
296,478,4.32,2024-10-23 13:39:12.630863
297,288,6.23,2024-02-20 08:13:27.911725
298,360,5.69,2024-04-05 20:32:28.808130
299,271,5.74,2024-09-19 08:51:19.296154
300,234,5.3,2024-09-13 00:13:37.076949
301,209,6.39,2024-10-06 02:31:27.021122
302,111,3.34,2024-05-15 22:53:54.266429
303,424,4.71,2024-08-31 23:20:20.533031
304,476,5.66,2024-05-30 20:38:50.632694
305,382,4.32,2024-02-28 18:21:34.740356
306,61,4.94,2024-09-11 11:37:41.464320
307,276,6.8,2024-01-20 07:37:50.958578
308,352,4.19,2024-11-23 17:13:45.253331
309,403,4.73,2024-06-05 04:27:33.573592
310,125,3.48,2024-09-09 13:32:29.132358
311,496,6.03,2024-01-12 07:44:24.648966
312,231,3.44,2024-09-30 19:16:06.767938
313,471,5.97,2024-05-09 22:39:45.412254
314,333,6.77,2024-03-28 02:33:30.214227
315,184,4.74,2024-03-28 12:52:50.422167
316,381,5.48,2024-05-19 05:44:12.861575
317,341,4.16,2024-10-05 10:55:35.247929
318,359,3.89,2024-06-04 06:39:42.672615
319,443,5.69,2024-09-14 07:52:13.381190
320,88,5.1,2024-01-16 23:48:29.635497
321,381,3.83,2024-09-30 06:49:52.586816
322,69,6.14,2024-11-23 10:54:29.800556
323,44,6.47,2024-09-04 10:27:32.906959
324,469,6.71,2024-04-21 18:33:25.471828
325,37,4.16,2024-05-31 22:22:22.673987
326,234,6.82,2024-08-13 01:21:40.874842
327,346,3.32,2024-01-17 12:22:28.137869
328,465,4.38,2024-01-27 04:09:46.622288
329,100,4.32,2024-08-08 23:16:21.346877
330,409,5.5,2024-06-14 07:03:16.282413
331,7,5.96,2024-02-22 05:55:59.442668
332,232,4.46,2024-02-02 18:14:50.912939
333,392,5.05,2024-04-13 06:59:25.828093
